playerID,yearID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,GS,InnOuts,PO,A,E,DP,PB,WP,awardID,lgID,tie,notes,Award_Category
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,Most Valuable Player,NL,,,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,Player of the Month,NL,,April,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,Player of the Month,NL,,June,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,Player of the Month,NL,,September,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,Player of the Week,NL,,Week of 2023-07-01,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,Silver Slugger,NL,,OF,Not All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,TSN All-Star,NL,,OF,All-Star
acunaro01,2023,158,159,643,149,217,35,4,41,106,73,14,80,84,3,9,0,3,15,,156,4083,281,10,5,1,,,TSN Major League Player of the Year,ML,,,Not All-Star
adamewi01,2021,99,,365,61,104,26,0,20,58,4,2,47,105,1,0,0,1,8,,94,2442,110,226,11,40,,,Player of the Week,NL,,Week of 2021-07-17,Not All-Star
adamewi01,2021,41,,132,16,26,6,1,5,15,1,2,10,51,0,0,0,0,1,,94,2442,110,226,11,40,,,Player of the Week,NL,,Week of 2021-07-17,Not All-Star
adamewi01,2021,99,,365,61,104,26,0,20,58,4,2,47,105,1,0,0,1,8,,37,1008,43,106,4,23,,,Player of the Week,NL,,Week of 2021-07-17,Not All-Star
adamewi01,2021,41,,132,16,26,6,1,5,15,1,2,10,51,0,0,0,0,1,,37,1008,43,106,4,23,,,Player of the Week,NL,,Week of 2021-07-17,Not All-Star
adamewi01,2022,139,,563,83,134,31,0,31,98,8,3,49,166,3,1,0,4,11,,136,3599,178,334,14,68,,,Player of the Week,NL,,Week of 2022-04-30,Not All-Star
adamewi01,2024,161,161,610,93,153,33,0,32,112,21,4,74,173,3,1,0,3,12,0,161,4219,204,323,20,66,,,Player of the Week,NL,,Week of 2024-06-01,Not All-Star
ahmedni01,2018,153,,516,61,121,33,5,16,70,5,4,40,109,2,2,1,5,15,,135,3719,165,432,9,98,,,Gold Glove,NL,,SS,Not All-Star
ahmedni01,2019,158,,556,79,141,33,6,19,82,8,2,52,113,2,4,1,12,15,,155,4143,207,412,13,79,,,Gold Glove,NL,,SS,Not All-Star
ahmedni01,2019,158,,556,79,141,33,6,19,82,8,2,52,113,2,4,1,12,15,,155,4143,207,412,13,79,,,Player of the Month,NL,Y,August,Not All-Star
albieoz01,2019,160,,640,102,189,43,8,24,86,15,4,54,112,6,4,0,4,2,,157,4215,273,384,4,117,,,Silver Slugger,NL,,2B,Not All-Star
albieoz01,2021,156,,629,103,163,40,7,30,106,20,4,47,128,2,3,0,7,4,,156,4076,231,389,8,75,,,All-MLB Team - Second Team,ML,,2B,Not All-Star
albieoz01,2021,156,,629,103,163,40,7,30,106,20,4,47,128,2,3,0,7,4,,156,4076,231,389,8,75,,,All-MLB Team - Second Team,ML,,2B,Not All-Star
albieoz01,2021,156,,629,103,163,40,7,30,106,20,4,47,128,2,3,0,7,4,,156,4076,231,389,8,75,,,Player of the Week,NL,,Week of 2021-07-03,Not All-Star
albieoz01,2021,156,,629,103,163,40,7,30,106,20,4,47,128,2,3,0,7,4,,156,4076,231,389,8,75,,,Silver Slugger,NL,,2B,Not All-Star
albieoz01,2021,156,,629,103,163,40,7,30,106,20,4,47,128,2,3,0,7,4,,156,4076,231,389,8,75,,,TSN All-Star,NL,,2B,All-Star
albieoz01,2023,148,148,596,96,167,30,5,33,109,13,1,46,107,2,8,0,8,9,,148,3942,211,368,8,79,,,All-MLB Team - Second Team,ML,,2B,Not All-Star
albieoz01,2023,148,148,596,96,167,30,5,33,109,13,1,46,107,2,8,0,8,9,,148,3942,211,368,8,79,,,All-MLB Team - Second Team,ML,,2B,Not All-Star
albieoz01,2023,148,148,596,96,167,30,5,33,109,13,1,46,107,2,8,0,8,9,,148,3942,211,368,8,79,,,TSN All-Star,NL,,2B,All-Star
alcansa01,2022,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32,686,20,28,0,2,,,All-MLB Team - First Team,ML,,SP,Not All-Star
